date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:37:37	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-652f624d-4d986e6edb3ab253;gz%22	https://toki.land/robots.txt		(from )
09:37:37	1875/1875	---M-Z	200	added ('OK')	text/html	etag:%22753-672bf886-91d31538f9af1c81;gz%22	https://toki.land/	C:/My%20Web%20Sites/toki/toki.land/index.html	(from )
09:37:37	7772/7772	---M-Z	200	added ('OK')	text/css	etag:%221e5c-672bf888-8e1871a22faaa1e7;gz%22	https://toki.land/css/normalize.css	C:/My%20Web%20Sites/toki/toki.land/css/normalize.css	(from https://toki.land/)
09:37:38	38869/38869	---M-Z	200	added ('OK')	text/css	etag:%2297d5-672bf888-5b455e91e217f479;gz%22	https://toki.land/css/toki.css	C:/My%20Web%20Sites/toki/toki.land/css/toki.css	(from https://toki.land/)
09:37:38	2382/2382	---M-Z	200	added ('OK')	text/css	etag:%2294e-672bf888-6acd39c9ed209044;gz%22	https://toki.land/css/tokitoki.css	C:/My%20Web%20Sites/toki/toki.land/css/tokitoki.css	(from https://toki.land/)
09:37:38	4286/4286	---M-Z	200	added ('OK')	image/x-icon	etag:%2210be-672bf887-7fa5f8ccfe49e706;gz%22	https://toki.land/images/favicon.ico	C:/My%20Web%20Sites/toki/toki.land/images/favicon.ico	(from https://toki.land/)
09:37:38	23931/23931	---M--	200	added ('OK')	image/png	etag:%225d7b-672bf888-258f811edfdec48;;;%22	https://toki.land/images/webclip.png	C:/My%20Web%20Sites/toki/toki.land/images/webclip.png	(from https://toki.land/)
09:37:39	2877/2877	---M--	200	added ('OK')	image/png	etag:%22b3d-672bf887-292fc956bb7bbf7b;;;%22	https://toki.land/images/name.png	C:/My%20Web%20Sites/toki/toki.land/images/name.png	(from https://toki.land/)
09:37:39	31529/31529	---M--	200	added ('OK')	image/png	etag:%227b29-672bf887-8c9bef2c1d18b6f1;;;%22	https://toki.land/images/toki2.png	C:/My%20Web%20Sites/toki/toki.land/images/toki2.png	(from https://toki.land/)
09:37:39	31611/31611	---M--	200	added ('OK')	image/png	etag:%227b7b-672bf887-3f0e77f072306afc;;;%22	https://toki.land/images/toki.png	C:/My%20Web%20Sites/toki/toki.land/images/toki.png	(from https://toki.land/)
09:37:39	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=672bbb7d28ddbadd51b6d930	C:/My%20Web%20Sites/toki/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c85fb4.js	(from https://toki.land/)
09:37:40	1772/1772	---M-Z	200	added ('OK')	application/x-javascript	etag:%226ec-672bf888-ce2648dc7300a03c;gz%22	https://toki.land/js/leaves.js	C:/My%20Web%20Sites/toki/toki.land/js/leaves.js	(from https://toki.land/)
09:37:40	155514/155514	---M-Z	200	added ('OK')	application/x-javascript	etag:%2225f7a-672bf888-6efb5c965211c90c;gz%22	https://toki.land/js/toki.js	C:/My%20Web%20Sites/toki/toki.land/js/toki.js	(from https://toki.land/)
09:37:41	448774/448774	---M--	200	added ('OK')	image/jpeg	etag:%226d906-672bf887-4bab2cf76fb10c3;;;%22	https://toki.land/images/BG.jpg	C:/My%20Web%20Sites/toki/toki.land/images/BG.jpg	(from https://toki.land/css/tokitoki.css)
09:37:41	412042/412042	---M--	200	added ('OK')	image/png	etag:%226498a-672bf887-40162994ad4b024d;;;%22	https://toki.land/images/grain.png	C:/My%20Web%20Sites/toki/toki.land/images/grain.png	(from https://toki.land/css/tokitoki.css)
09:37:41	672/672	---M-Z	200	added ('OK')	image/svg+xml	etag:%222a0-672bf887-468004910d9acc46;gz%22	https://toki.land/images/tg.svg	C:/My%20Web%20Sites/toki/toki.land/images/tg.svg	(from https://toki.land/css/tokitoki.css)
09:37:42	546/546	---M-Z	200	added ('OK')	image/svg+xml	etag:%22222-672bf888-8a2a3c6ad38dbecf;gz%22	https://toki.land/images/x.svg	C:/My%20Web%20Sites/toki/toki.land/images/x.svg	(from https://toki.land/css/tokitoki.css)
09:37:42	63861/63861	---M--	200	added ('OK')	image/png	etag:%22f975-672bf887-de9bd0aba474f759;;;%22	https://toki.land/images/dex.png	C:/My%20Web%20Sites/toki/toki.land/images/dex.png	(from https://toki.land/css/tokitoki.css)
09:37:42	1601/1601	---M-Z	200	added ('OK')	image/svg+xml	etag:%22641-672bf887-a7da1e63060ef07e;gz%22	https://toki.land/images/dextools.svg	C:/My%20Web%20Sites/toki/toki.land/images/dextools.svg	(from https://toki.land/css/tokitoki.css)
09:37:43	9005/9005	---M--	200	added ('OK')	image/png	etag:%22232d-672bf887-2f70062ac21674df;;;%22	https://toki.land/images/leaves.png	C:/My%20Web%20Sites/toki/toki.land/images/leaves.png	(from https://toki.land/js/leaves.js)
